"Step","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_total_loss__MAX"
"1","0.9358361141084566","0.9358361141084566","0.9358361141084566"
"2","0.7471008837011314","0.7471008837011314","0.7471008837011314"
"3","0.6670186498448861","0.6670186498448861","0.6670186498448861"
"4","0.6105547550516485","0.6105547550516485","0.6105547550516485"
"5","0.5814213514539742","0.5814213514539742","0.5814213514539742"
"6","0.5511285459381225","0.5511285459381225","0.5511285459381225"
"7","0.5353932225577149","0.5353932225577149","0.5353932225577149"
"8","0.5185539137777173","0.5185539137777173","0.5185539137777173"
"9","0.5074922836006852","0.5074922836006852","0.5074922836006852"
"10","0.4980154972834443","0.4980154972834443","0.4980154972834443"
"11","0.4946777301560922","0.4946777301560922","0.4946777301560922"
"12","0.4955609563347713","0.4955609563347713","0.4955609563347713"
"13","0.4880226398975345","0.4880226398975345","0.4880226398975345"
"14","0.48177887449044315","0.48177887449044315","0.48177887449044315"
"15","0.4845567957016757","0.4845567957016757","0.4845567957016757"
"16","0.4844642952746227","0.4844642952746227","0.4844642952746227"
"17","0.485390406704076","0.485390406704076","0.485390406704076"
