"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_total_loss__MAX"
"1","7.002720967822604","7.002720967822604","7.002720967822604","7.688847078535292","7.688847078535292","7.688847078535292","3.832510324266222","3.832510324266222","3.832510324266222","4.641386391957601","4.641386391957601","4.641386391957601","1.4065998990005917","1.4065998990005917","1.4065998990005917","8.263614246368409","8.263614246368409","8.263614246368409","8.877757417254978","8.877757417254978","8.877757417254978","6.060946805106269","6.060946805106269","6.060946805106269","6.811757125854492","6.811757125854492","6.811757125854492"
"2","4.24087761677636","4.24087761677636","4.24087761677636","4.739769574483236","4.739769574483236","4.739769574483236","2.440362596458859","2.440362596458859","2.440362596458859","2.723600405163235","2.723600405163235","2.723600405163235","0.7114982519282235","0.7114982519282235","0.7114982519282235","5.010718782001072","5.010718782001072","5.010718782001072","5.529383708953858","5.529383708953858","5.529383708953858","3.708339375813802","3.708339375813802","3.708339375813802","4.127721165657044","4.127721165657044","4.127721165657044"
"3","3.12815164258745","3.12815164258745","3.12815164258745","3.3800875272750854","3.3800875272750854","3.3800875272750854","1.9892065965864394","1.9892065965864394","1.9892065965864394","2.0819696746402316","2.0819696746402316","2.0819696746402316","0.5719110687573751","0.5719110687573751","0.5719110687573751","3.621200214597914","3.621200214597914","3.621200214597914","3.9588083550135296","3.9588083550135296","3.9588083550135296","2.811020077387492","2.811020077387492","2.811020077387492","2.996820797390408","2.996820797390408","2.996820797390408"
"4","2.5669992524253","2.5669992524253","2.5669992524253","2.634606601662106","2.634606601662106","2.634606601662106","1.731539587603675","1.731539587603675","1.731539587603675","1.7309750854704116","1.7309750854704116","1.7309750854704116","0.49719731886519325","0.49719731886519325","0.49719731886519325","2.899490126291911","2.899490126291911","2.899490126291911","3.0247384074529013","3.0247384074529013","3.0247384074529013","2.3593792673746745","2.3593792673746745","2.3593792673746745","2.397293083773719","2.397293083773719","2.397293083773719"
"5","2.2397196110619437","2.2397196110619437","2.2397196110619437","2.2083556719885933","2.2083556719885933","2.2083556719885933","1.543766151746114","1.543766151746114","1.543766151746114","1.513107868300544","1.513107868300544","1.513107868300544","0.4449343642526203","0.4449343642526203","0.4449343642526203","2.4758719817267525","2.4758719817267525","2.4758719817267525","2.4829733131196763","2.4829733131196763","2.4829733131196763","2.092401580121782","2.092401580121782","2.092401580121782","2.0304184817208184","2.0304184817208184","2.0304184817208184"
"6","2.0230904236899483","2.0230904236899483","2.0230904236899483","1.9253992636998494","1.9253992636998494","1.9253992636998494","1.3919284834861756","1.3919284834861756","1.3919284834861756","1.3463210819032456","1.3463210819032456","1.3463210819032456","0.4005135152935982","0.4005135152935982","0.4005135152935982","2.199617952770657","2.199617952770657","2.199617952770657","2.152850243674384","2.152850243674384","2.152850243674384","1.8979397039413453","1.8979397039413453","1.8979397039413453","1.7713815806176927","1.7713815806176927","1.7713815806176927"
"7","1.8667267831696404","1.8667267831696404","1.8667267831696404","1.730595706515842","1.730595706515842","1.730595706515842","1.268786486281289","1.268786486281289","1.268786486281289","1.2264868307908376","1.2264868307908376","1.2264868307908376","0.3660543185604943","0.3660543185604943","0.3660543185604943","2.0174988941086665","2.0174988941086665","2.0174988941086665","1.9317220300038656","1.9317220300038656","1.9317220300038656","1.7557131822374132","1.7557131822374132","1.7557131822374132","1.6016566246880426","1.6016566246880426","1.6016566246880426"
"8","1.7516012303564283","1.7516012303564283","1.7516012303564283","1.5905827372339036","1.5905827372339036","1.5905827372339036","1.170039919508828","1.170039919508828","1.170039919508828","1.133333237277137","1.133333237277137","1.133333237277137","0.33357121640443804","0.33357121640443804","0.33357121640443804","1.8838764533466763","1.8838764533466763","1.8838764533466763","1.7812842639817132","1.7812842639817132","1.7812842639817132","1.6459370767805312","1.6459370767805312","1.6459370767805312","1.4733431186146206","1.4733431186146206","1.4733431186146206"
"9","1.6594212306340534","1.6594212306340534","1.6594212306340534","1.4900913076930575","1.4900913076930575","1.4900913076930575","1.0910507658057742","1.0910507658057742","1.0910507658057742","1.0568338877095116","1.0568338877095116","1.0568338877095116","0.30507524355914856","0.30507524355914856","0.30507524355914856","1.7858757427003649","1.7858757427003649","1.7858757427003649","1.6652477175924514","1.6652477175924514","1.6652477175924514","1.5520208994017708","1.5520208994017708","1.5520208994017708","1.3828776899443733","1.3828776899443733","1.3828776899443733"
"10","1.574724015182919","1.574724015182919","1.574724015182919","1.4091328131887648","1.4091328131887648","1.4091328131887648","1.0190539650652144","1.0190539650652144","1.0190539650652144","0.992935001399782","0.992935001399782","0.992935001399782","0.28225168779492377","0.28225168779492377","0.28225168779492377","1.7029994101524353","1.7029994101524353","1.7029994101524353","1.577689506954617","1.577689506954617","1.577689506954617","1.469512607468499","1.469512607468499","1.469512607468499","1.3104410639339024","1.3104410639339024","1.3104410639339024"
