"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_total_loss__MAX"
"1","4.66290094162177","4.66290094162177","4.66290094162177","6.337259971862576","6.337259971862576","6.337259971862576","6.792610604640222","6.792610604640222","6.792610604640222","5.197869506652995","5.197869506652995","5.197869506652995"
"2","3.183626401064451","3.183626401064451","3.183626401064451","4.164031309937499","4.164031309937499","4.164031309937499","4.6525089054717474","4.6525089054717474","4.6525089054717474","3.5248676172158224","3.5248676172158224","3.5248676172158224"
"3","2.4923940755122507","2.4923940755122507","2.4923940755122507","3.0427809820293743","3.0427809820293743","3.0427809820293743","3.208985553118094","3.208985553118094","3.208985553118094","2.5305826860888603","2.5305826860888603","2.5305826860888603"
"4","2.061834437597285","2.061834437597285","2.061834437597285","2.3767710034843024","2.3767710034843024","2.3767710034843024","2.370913750113221","2.370913750113221","2.370913750113221","2.0241101300525837","2.0241101300525837","2.0241101300525837"
"5","1.8090635449170642","1.8090635449170642","1.8090635449170642","2.061857234309452","2.061857234309452","2.061857234309452","1.8729854070483898","1.8729854070483898","1.8729854070483898","1.6950992335222965","1.6950992335222965","1.6950992335222965"
"6","1.6593940859366056","1.6593940859366056","1.6593940859366056","1.7653665540485144","1.7653665540485144","1.7653665540485144","1.6016779379988648","1.6016779379988648","1.6016779379988648","1.4879965898622205","1.4879965898622205","1.4879965898622205"
"7","1.561470252900098","1.561470252900098","1.561470252900098","1.5825511484967667","1.5825511484967667","1.5825511484967667","1.4341785553081845","1.4341785553081845","1.4341785553081845","1.3429796092251902","1.3429796092251902","1.3429796092251902"
"8","1.4461200400313519","1.4461200400313519","1.4461200400313519","1.4877562523946881","1.4877562523946881","1.4877562523946881","1.316744574009843","1.316744574009843","1.316744574009843","1.2644838960725504","1.2644838960725504","1.2644838960725504"
"9","1.4052703578561068","1.4052703578561068","1.4052703578561068","1.4239906280121202","1.4239906280121202","1.4239906280121202","1.2319124403474173","1.2319124403474173","1.2319124403474173","1.2000562922357454","1.2000562922357454","1.2000562922357454"
"10","1.3653135240395582","1.3653135240395582","1.3653135240395582","1.3621060878938298","1.3621060878938298","1.3621060878938298","1.1748426673043897","1.1748426673043897","1.1748426673043897","1.1520283302659464","1.1520283302659464","1.1520283302659464"
"11","","","","1.3264967688023515","1.3264967688023515","1.3264967688023515","1.1320515057968628","1.1320515057968628","1.1320515057968628","1.1129546032070479","1.1129546032070479","1.1129546032070479"
"12","","","","","","","1.1021792976513214","1.1021792976513214","1.1021792976513214","1.0937838661310728","1.0937838661310728","1.0937838661310728"
"13","","","","","","","1.0699861057062978","1.0699861057062978","1.0699861057062978","1.063477843523449","1.063477843523449","1.063477843523449"
"14","","","","","","","1.054613601568537","1.054613601568537","1.054613601568537","1.0466304816318872","1.0466304816318872","1.0466304816318872"
"15","","","","","","","1.0353625235718478","1.0353625235718478","1.0353625235718478","1.0502627261155029","1.0502627261155029","1.0502627261155029"
"16","","","","","","","1.037467475259283","1.037467475259283","1.037467475259283","1.0192987170354935","1.0192987170354935","1.0192987170354935"
"17","","","","","","","","","","1.0173244633005525","1.0173244633005525","1.0173244633005525"
"18","","","","","","","","","","1.0187592166566934","1.0187592166566934","1.0187592166566934"
