"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_total_loss__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_total_loss","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_total_loss__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_total_loss__MAX"
"1","7.408832140392727","7.408832140392727","7.408832140392727","8.136553057352701","8.136553057352701","8.136553057352701","4.270961510234409","4.270961510234409","4.270961510234409","5.002894394132826","5.002894394132826","5.002894394132826","6.463868174870809","6.463868174870809","6.463868174870809","8.693045297198825","8.693045297198825","8.693045297198825","1.7984712216059366","1.7984712216059366","1.7984712216059366","9.274131603240967","9.274131603240967","9.274131603240967","7.241254376729329","7.241254376729329","7.241254376729329"
"2","4.675470676634046","4.675470676634046","4.675470676634046","5.214555643823411","5.214555643823411","5.214555643823411","2.8396080401208668","2.8396080401208668","2.8396080401208668","3.1337014519373576","3.1337014519373576","3.1337014519373576","4.1375644713507755","4.1375644713507755","4.1375644713507755","5.464688057157728","5.464688057157728","5.464688057157728","1.0730830309126111","1.0730830309126111","1.0730830309126111","6.0370710194905595","6.0370710194905595","6.0370710194905595","4.624662669181824","4.624662669181824","4.624662669181824"
"3","3.5272810938093397","3.5272810938093397","3.5272810938093397","3.829312486542596","3.829312486542596","3.829312486542596","2.338644608762529","2.338644608762529","2.338644608762529","2.4532792829937407","2.4532792829937407","2.4532792829937407","3.216896080546909","3.216896080546909","3.216896080546909","4.059346827401055","4.059346827401055","4.059346827401055","0.8954138972096973","0.8954138972096973","0.8954138972096973","4.429967440711128","4.429967440711128","4.429967440711128","3.4421315298080444","3.4421315298080444","3.4421315298080444"
"4","2.9281165000597635","2.9281165000597635","2.9281165000597635","3.0012755013571843","3.0012755013571843","3.0012755013571843","2.0600331818792554","2.0600331818792554","2.0600331818792554","2.065101433330112","2.065101433330112","2.065101433330112","2.723745473543803","2.723745473543803","2.723745473543803","3.2833623598946464","3.2833623598946464","3.2833623598946464","0.7795561457475026","0.7795561457475026","0.7795561457475026","3.400950078540378","3.400950078540378","3.400950078540378","2.768000171714359","2.768000171714359","2.768000171714359"
"5","2.5627882879575092","2.5627882879575092","2.5627882879575092","2.5188508076137968","2.5188508076137968","2.5188508076137968","1.8441452418963113","1.8441452418963113","1.8441452418963113","1.8049960222244263","1.8049960222244263","1.8049960222244263","2.416481956693861","2.416481956693861","2.416481956693861","2.807585743162367","2.807585743162367","2.807585743162367","0.7047865467071533","0.7047865467071533","0.7047865467071533","2.7944868648846946","2.7944868648846946","2.7944868648846946","2.3544183246824475","2.3544183246824475","2.3544183246824475"
"6","2.315648981412252","2.315648981412252","2.315648981412252","2.2030961973402237","2.2030961973402237","2.2030961973402237","1.6706410768296984","1.6706410768296984","1.6706410768296984","1.616276634481218","1.616276634481218","1.616276634481218","2.191041300031874","2.191041300031874","2.191041300031874","2.499916893164317","2.499916893164317","2.499916893164317","0.6421591227783097","0.6421591227783097","0.6421591227783097","2.4313896198802523","2.4313896198802523","2.4313896198802523","2.061539904806349","2.061539904806349","2.061539904806349"
"7","2.1297761001057096","2.1297761001057096","2.1297761001057096","1.9791943817668491","1.9791943817668491","1.9791943817668491","1.5269218407736884","1.5269218407736884","1.5269218407736884","1.4711443065537346","1.4711443065537346","1.4711443065537346","2.022277873304155","2.022277873304155","2.022277873304155","2.2891704937087165","2.2891704937087165","2.2891704937087165","0.5892675078113874","0.5892675078113874","0.5892675078113874","2.1897145345475937","2.1897145345475937","2.1897145345475937","1.8602423249350655","1.8602423249350655","1.8602423249350655"
"8","2.00003360637029","2.00003360637029","2.00003360637029","1.8229391553666856","1.8229391553666856","1.8229391553666856","1.4079898115264045","1.4079898115264045","1.4079898115264045","1.3626637966103023","1.3626637966103023","1.3626637966103023","1.8862328153716192","1.8862328153716192","1.8862328153716192","2.1420191493564182","2.1420191493564182","2.1420191493564182","0.5426929161217477","0.5426929161217477","0.5426929161217477","2.013952218585544","2.013952218585544","2.013952218585544","1.7141171920034621","1.7141171920034621","1.7141171920034621"
"9","","","","1.710585345586141","1.710585345586141","1.710585345586141","1.3099234782324898","1.3099234782324898","1.3099234782324898","1.2748115174505446","1.2748115174505446","1.2748115174505446","1.7785133207109238","1.7785133207109238","1.7785133207109238","2.0161435300509134","2.0161435300509134","2.0161435300509134","0.503220709502697","0.503220709502697","0.503220709502697","1.8831688565678066","1.8831688565678066","1.8831688565678066","1.6028960798581442","1.6028960798581442","1.6028960798581442"
"10","","","","1.6101499968104893","1.6101499968104893","1.6101499968104893","1.222394296222263","1.222394296222263","1.222394296222263","1.1932263335651823","1.1932263335651823","1.1932263335651823","1.687289719051785","1.687289719051785","1.687289719051785","1.9187098978890313","1.9187098978890313","1.9187098978890313","0.4665472226209111","0.4665472226209111","0.4665472226209111","1.7772157949341667","1.7772157949341667","1.7772157949341667","1.51467749537362","1.51467749537362","1.51467749537362"
