"Step","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_total_loss__MAX"
"1","0.5649560311971296","0.5649560311971296","0.5649560311971296"
"2","0.4352923158430503","0.4352923158430503","0.4352923158430503"
"3","0.38693897391720733","0.38693897391720733","0.38693897391720733"
"4","0.36143415425217595","0.36143415425217595","0.36143415425217595"
"5","0.3426354260681789","0.3426354260681789","0.3426354260681789"
"6","0.32752669545727553","0.32752669545727553","0.32752669545727553"
"7","0.3199896162398967","0.3199896162398967","0.3199896162398967"
"8","0.31201642878737373","0.31201642878737373","0.31201642878737373"
"9","0.30792246417508035","0.30792246417508035","0.30792246417508035"
"10","0.30554668369767507","0.30554668369767507","0.30554668369767507"
"11","0.3055127944340714","0.3055127944340714","0.3055127944340714"
"12","0.30483090406412766","0.30483090406412766","0.30483090406412766"
"13","0.29386188918278017","0.29386188918278017","0.29386188918278017"
"14","0.2961730832104996","0.2961730832104996","0.2961730832104996"
"15","0.29654167145225974","0.29654167145225974","0.29654167145225974"
"16","0.29147421022079767","0.29147421022079767","0.29147421022079767"
"17","0.29059903882113064","0.29059903882113064","0.29059903882113064"
"18","0.29378492508222537","0.29378492508222537","0.29378492508222537"
"19","0.2943477233074486","0.2943477233074486","0.2943477233074486"
"20","0.29301380200665544","0.29301380200665544","0.29301380200665544"
"21","0.298778084412773","0.298778084412773","0.298778084412773"
