"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_base - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_base - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_base - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_total_loss__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_total_loss","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_total_loss__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_total_loss__MAX"
"1","6.546835365507338","6.546835365507338","6.546835365507338","7.304153244866265","7.304153244866265","7.304153244866265","3.3347542307111953","3.3347542307111953","3.3347542307111953","4.229219492700365","4.229219492700365","4.229219492700365","1.0127562316921022","1.0127562316921022","1.0127562316921022","5.5616310190624665","5.5616310190624665","5.5616310190624665","6.43233660697937","6.43233660697937","6.43233660697937","7.813466921276516","7.813466921276516","7.813466921276516","8.45996531338162","8.45996531338162","8.45996531338162"
"2","3.6905409099790787","3.6905409099790787","3.6905409099790787","4.193174050860935","4.193174050860935","4.193174050860935","1.9376252937316893","1.9376252937316893","1.9376252937316893","2.2270733953052098","2.2270733953052098","2.2270733953052098","0.28577882489562034","0.28577882489562034","0.28577882489562034","3.140227486398485","3.140227486398485","3.140227486398485","3.6277301218244764","3.6277301218244764","3.6277301218244764","4.4775204360749985","4.4775204360749985","4.4775204360749985","4.992249448458353","4.992249448458353","4.992249448458353"
"3","2.604776800632477","2.604776800632477","2.604776800632477","2.875904664463467","2.875904664463467","2.875904664463467","1.5384082942008972","1.5384082942008972","1.5384082942008972","1.629626783159044","1.629626783159044","1.629626783159044","0.20894417818056213","0.20894417818056213","0.20894417818056213","2.2973019608391656","2.2973019608391656","2.2973019608391656","2.5167702176835802","2.5167702176835802","2.5167702176835802","3.1027197456359863","3.1027197456359863","3.1027197456359863","3.429805081155565","3.429805081155565","3.429805081155565"
"4","2.0978799436887106","2.0978799436887106","2.0978799436887106","2.1889815653695","2.1889815653695","2.1889815653695","1.313354321108924","1.313354321108924","1.313354321108924","1.3271491932868957","1.3271491932868957","1.3271491932868957","0.17107150107787716","0.17107150107787716","0.17107150107787716","1.9039092207484776","1.9039092207484776","1.9039092207484776","1.9667696899308098","1.9667696899308098","1.9667696899308098","2.4258787252108256","2.4258787252108256","2.4258787252108256","2.553208890861935","2.553208890861935","2.553208890861935"
"5","1.8177576383484735","1.8177576383484735","1.8177576383484735","1.8168210883140563","1.8168210883140563","1.8168210883140563","1.151052646478017","1.151052646478017","1.151052646478017","1.1374033127890693","1.1374033127890693","1.1374033127890693","0.14770301125115817","0.14770301125115817","0.14770301125115817","1.679347938961453","1.679347938961453","1.679347938961453","1.6428091319402058","1.6428091319402058","1.6428091319402058","2.0566939843495686","2.0566939843495686","2.0566939843495686","2.07611798842748","2.07611798842748","2.07611798842748"
"6","1.640637749195099","1.640637749195099","1.640637749195099","1.570856604523129","1.570856604523129","1.570856604523129","1.0259391611417135","1.0259391611417135","1.0259391611417135","1.0045565155612097","1.0045565155612097","1.0045565155612097","0.12936087414125602","0.12936087414125602","0.12936087414125602","1.5290869890848795","1.5290869890848795","1.5290869890848795","1.420595563676622","1.420595563676622","1.420595563676622","1.826643727408515","1.826643727408515","1.826643727408515","1.797545579486423","1.797545579486423","1.797545579486423"
"7","1.5274129927423266","1.5274129927423266","1.5274129927423266","1.4094013845655653","1.4094013845655653","1.4094013845655653","0.9324055122269524","0.9324055122269524","0.9324055122269524","0.912252905898624","0.912252905898624","0.912252905898624","0.11364811051057444","0.11364811051057444","0.11364811051057444","1.4225431672732036","1.4225431672732036","1.4225431672732036","1.2804627785417768","1.2804627785417768","1.2804627785417768","1.6882565625508625","1.6882565625508625","1.6882565625508625","1.6148295438554552","1.6148295438554552","1.6148295438554552"
"8","1.4403842005199856","1.4403842005199856","1.4403842005199856","1.2989021364318","1.2989021364318","1.2989021364318","0.8637499908606211","0.8637499908606211","0.8637499908606211","0.8413979819350772","0.8413979819350772","0.8413979819350772","0.10304840671850575","0.10304840671850575","0.10304840671850575","1.3310664659606086","1.3310664659606086","1.3310664659606086","1.183692874564065","1.183692874564065","1.183692874564065","1.5887017430729335","1.5887017430729335","1.5887017430729335","1.489208766831292","1.489208766831292","1.489208766831292"
"9","1.3726606084505717","1.3726606084505717","1.3726606084505717","1.2204890101485781","1.2204890101485781","1.2204890101485781","0.8096326957013872","0.8096326957013872","0.8096326957013872","0.7871358217663235","0.7871358217663235","0.7871358217663235","0.09443783610728052","0.09443783610728052","0.09443783610728052","1.25496898288197","1.25496898288197","1.25496898288197","1.1139744244416554","1.1139744244416554","1.1139744244416554","1.514794096575843","1.514794096575843","1.514794096575843","1.3994819634225633","1.3994819634225633","1.3994819634225633"
"10","1.3070996317863464","1.3070996317863464","1.3070996317863464","1.1635964108573067","1.1635964108573067","1.1635964108573067","0.765760377936893","0.765760377936893","0.765760377936893","0.7423805817233191","0.7423805817233191","0.7423805817233191","0.08514969843874375","0.08514969843874375","0.08514969843874375","1.187453030400806","1.187453030400806","1.187453030400806","1.0604177356825935","1.0604177356825935","1.0604177356825935","1.454162111070421","1.454162111070421","1.454162111070421","1.3317146028942533","1.3317146028942533","1.3317146028942533"
