"Step","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_mrr_at_k__MAX"
"1","0.5117222325801849","0.5117222325801849","0.5117222325801849"
"2","0.5219259345895714","0.5219259345895714","0.5219259345895714"
"3","0.5488981574707561","0.5488981574707561","0.5488981574707561"
"4","0.5896851963599523","0.5896851963599523","0.5896851963599523"
"5","0.5703796397580041","0.5703796397580041","0.5703796397580041"
"6","0.5905092698468102","0.5905092698468102","0.5905092698468102"
"7","0.6095277889172236","0.6095277889172236","0.6095277889172236"
"8","0.6143889002137713","0.6143889002137713","0.6143889002137713"
"9","0.6062407519155079","0.6062407519155079","0.6062407519155079"
"10","0.6272129740450118","0.6272129740450118","0.6272129740450118"
"11","0.6255463067425622","0.6255463067425622","0.6255463067425622"
"12","0.6019166783491771","0.6019166783491771","0.6019166783491771"
"13","0.629379642115699","0.629379642115699","0.629379642115699"
"14","0.6189074190722571","0.6189074190722571","0.6189074190722571"
"15","0.6250833458900452","0.6250833458900452","0.6250833458900452"
"16","0.6316666790114509","0.6316666790114509","0.6316666790114509"
"17","0.6186851965056526","0.6186851965056526","0.6186851965056526"
