"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_1hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_1hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_1hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_1hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_1hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_1hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_1hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_1hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_1hardneg - train_mrr_at_k__MAX"
"1","0.5409513987849156","0.5409513987849156","0.5409513987849156","0.18717361408596236","0.18717361408596236","0.18717361408596236","0.5627615840252903","0.5627615840252903","0.5627615840252903","0.2026805588433312","0.2026805588433312","0.2026805588433312","0.18995139177433318","0.18995139177433318","0.18995139177433318","0.5226805654764175","0.5226805654764175","0.5226805654764175","0.17917824379478892","0.17917824379478892","0.17917824379478892","0.5512453804678387","0.5512453804678387","0.5512453804678387","0.19972916981081168","0.19972916981081168","0.19972916981081168"
"2","0.5583518622534143","0.5583518622534143","0.5583518622534143","0.4111643588153852","0.4111643588153852","0.4111643588153852","0.5369351949890454","0.5369351949890454","0.5369351949890454","0.4026851919988791","0.4026851919988791","0.4026851919988791","0.3873703766916361","0.3873703766916361","0.3873703766916361","0.5771805657976203","0.5771805657976203","0.5771805657976203","0.39903935820112624","0.39903935820112624","0.39903935820112624","0.5566250096211831","0.5566250096211831","0.5566250096211831","0.4097569508747094","0.4097569508747094","0.4097569508747094"
"3","0.5458541758871741","0.5458541758871741","0.5458541758871741","0.44674769316779245","0.44674769316779245","0.44674769316779245","0.5406713059428665","0.5406713059428665","0.5406713059428665","0.4395648225401011","0.4395648225401011","0.4395648225401011","0.4164606553953555","0.4164606553953555","0.4164606553953555","0.5575393622931507","0.5575393622931507","0.5575393622931507","0.43835185968834495","0.43835185968834495","0.43835185968834495","0.5474791769840651","0.5474791769840651","0.5474791769840651","0.44595371166989206","0.44595371166989206","0.44595371166989206"
"4","0.552599546758665","0.552599546758665","0.552599546758665","0.465467601188355","0.465467601188355","0.465467601188355","0.5503263991040488","0.5503263991040488","0.5503263991040488","0.4628981564525101","0.4628981564525101","0.4628981564525101","0.4390972300623026","0.4390972300623026","0.4390972300623026","0.5561944547841946","0.5561944547841946","0.5561944547841946","0.4636504708892769","0.4636504708892769","0.4636504708892769","0.5541319549298949","0.5541319549298949","0.5541319549298949","0.461467600847284","0.461467600847284","0.461467600847284"
"5","0.5603472325735622","0.5603472325735622","0.5603472325735622","0.4834652870707214","0.4834652870707214","0.4834652870707214","0.5596875111477243","0.5596875111477243","0.5596875111477243","0.48447223113725585","0.48447223113725585","0.48447223113725585","0.4561088042329583","0.4561088042329583","0.4561088042329583","0.5645902887599336","0.5645902887599336","0.5645902887599336","0.4797222309373319","0.4797222309373319","0.4797222309373319","0.5621967695885235","0.5621967695885235","0.5621967695885235","0.48449537934942377","0.48449537934942377","0.48449537934942377"
"6","0.5793611220866441","0.5793611220866441","0.5793611220866441","0.508351860874229","0.508351860874229","0.508351860874229","0.5766342697309124","0.5766342697309124","0.5766342697309124","0.5032847311745088","0.5032847311745088","0.5032847311745088","0.47783334201657107","0.47783334201657107","0.47783334201657107","0.5846574182013671","0.5846574182013671","0.5846574182013671","0.504592601550536","0.504592601550536","0.504592601550536","0.5838078812282118","0.5838078812282118","0.5838078812282118","0.5027176019975709","0.5027176019975709","0.5027176019975709"
"7","0.5987245485931635","0.5987245485931635","0.5987245485931635","0.5316828800870312","0.5316828800870312","0.5316828800870312","0.5916365851991706","0.5916365851991706","0.5916365851991706","0.5275902876887056","0.5275902876887056","0.5275902876887056","0.49962963898066015","0.49962963898066015","0.49962963898066015","0.602902788920535","0.602902788920535","0.602902788920535","0.5296319544381566","0.5296319544381566","0.5296319544381566","0.6018611228581932","0.6018611228581932","0.6018611228581932","0.5265671392435001","0.5265671392435001","0.5265671392435001"
"8","0.6209606600420342","0.6209606600420342","0.6209606600420342","0.5511435291419426","0.5511435291419426","0.5511435291419426","0.6064143633246422","0.6064143633246422","0.6064143633246422","0.5467037140644259","0.5467037140644259","0.5467037140644259","0.5165277874233822","0.5165277874233822","0.5165277874233822","0.6211041783471074","0.6211041783471074","0.6211041783471074","0.5474467696365383","0.5474467696365383","0.5474467696365383","0.6173240859359502","0.6173240859359502","0.6173240859359502","0.5476851951438519","0.5476851951438519","0.5476851951438519"
"9","0.635824086651206","0.635824086651206","0.635824086651206","0.568842603955004","0.568842603955004","0.568842603955004","0.621925937977102","0.621925937977102","0.621925937977102","0.5625601957357592","0.5625601957357592","0.5625601957357592","0.5351203803287612","0.5351203803287612","0.5351203803287612","0.6425578828785155","0.6425578828785155","0.6425578828785155","0.564361121662789","0.564361121662789","0.564361121662789","0.6349953829480542","0.6349953829480542","0.6349953829480542","0.567032418406672","0.567032418406672","0.567032418406672"
"10","0.6521620500418875","0.6521620500418875","0.6521620500418875","0.584069456020991","0.584069456020991","0.584069456020991","0.636104178837604","0.636104178837604","0.636104178837604","0.5758449187642998","0.5758449187642998","0.5758449187642998","0.5504444550044006","0.5504444550044006","0.5504444550044006","0.6571689949068759","0.6571689949068759","0.6571689949068759","0.5826250117222468","0.5826250117222468","0.5826250117222468","0.6523657536076175","0.6523657536076175","0.6523657536076175","0.5850787153939406","0.5850787153939406","0.5850787153939406"
