"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_mrr_at_k__MAX"
"1","0.5383194539066818","0.5383194539066818","0.5383194539066818","0.16668518771107","0.16668518771107","0.16668518771107","0.5442245469010538","0.5442245469010538","0.5442245469010538","0.17904398449841472","0.17904398449841472","0.17904398449841472","0.5627963060951895","0.5627963060951895","0.5627963060951895","0.17928009565464326","0.17928009565464326","0.17928009565464326","0.17681018780503008","0.17681018780503008","0.17681018780503008","0.5573564916153749","0.5573564916153749","0.5573564916153749","0.18752315098047256","0.18752315098047256","0.18752315098047256"
"2","0.5463472317266795","0.5463472317266795","0.5463472317266795","0.35759259851276876","0.35759259851276876","0.35759259851276876","0.5382384352001051","0.5382384352001051","0.5382384352001051","0.36986111703597835","0.36986111703597835","0.36986111703597835","0.5288101943015224","0.5288101943015224","0.5288101943015224","0.36858565424092943","0.36858565424092943","0.36858565424092943","0.3574930612867077","0.3574930612867077","0.3574930612867077","0.512002323826568","0.512002323826568","0.512002323826568","0.3664490801116659","0.3664490801116659","0.3664490801116659"
"3","0.5339768611954319","0.5339768611954319","0.5339768611954319","0.403159728826748","0.403159728826748","0.403159728826748","0.5289583425099651","0.5289583425099651","0.5289583425099651","0.3950856550141341","0.3950856550141341","0.3950856550141341","0.5232708421390918","0.5232708421390918","0.5232708421390918","0.4040277846352094","0.4040277846352094","0.4040277846352094","0.38334722885323896","0.38334722885323896","0.38334722885323896","0.5145555647433632","0.5145555647433632","0.5145555647433632","0.3937430622594224","0.3937430622594224","0.3937430622594224"
"4","0.5308078797707955","0.5308078797707955","0.5308078797707955","0.4209583407127195","0.4209583407127195","0.4209583407127195","0.5283472313545644","0.5283472313545644","0.5283472313545644","0.4207407479509711","0.4207407479509711","0.4207407479509711","0.5341388976673285","0.5341388976673285","0.5341388976673285","0.4267453778829012","0.4267453778829012","0.4267453778829012","0.4038958401075668","0.4038958401075668","0.4038958401075668","0.5251111205191248","0.5251111205191248","0.5251111205191248","0.4251388964922064","0.4251388964922064","0.4251388964922064"
"5","0.5467777872764402","0.5467777872764402","0.5467777872764402","0.4419722297369606","0.4419722297369606","0.4419722297369606","0.5454097321815788","0.5454097321815788","0.5454097321815788","0.44487269289957154","0.44487269289957154","0.44487269289957154","0.54824769517531","0.54824769517531","0.54824769517531","0.448981489389307","0.448981489389307","0.448981489389307","0.4274907480432755","0.4274907480432755","0.4274907480432755","0.5446620468993981","0.5446620468993981","0.5446620468993981","0.4445023226104677","0.4445023226104677","0.4445023226104677"
"6","0.5654652878145376","0.5654652878145376","0.5654652878145376","0.47192593442358904","0.47192593442358904","0.47192593442358904","0.5621296399434408","0.5621296399434408","0.5621296399434408","0.4688240824436976","0.4688240824436976","0.4688240824436976","0.5668125102784899","0.5668125102784899","0.5668125102784899","0.47519908265769484","0.47519908265769484","0.47519908265769484","0.4529513967351781","0.4529513967351781","0.4529513967351781","0.5567847323504587","0.5567847323504587","0.5567847323504587","0.4765671379384067","0.4765671379384067","0.4765671379384067"
"7","0.587581029082338","0.587581029082338","0.587581029082338","0.4939907494866186","0.4939907494866186","0.4939907494866186","0.5872430662744575","0.5872430662744575","0.5872430662744575","0.4923333422566454","0.4923333422566454","0.4923333422566454","0.5879004732469718","0.5879004732469718","0.5879004732469718","0.5037685275462767","0.5037685275462767","0.5037685275462767","0.4751944529281722","0.4751944529281722","0.4751944529281722","0.5809097329494026","0.5809097329494026","0.5809097329494026","0.4985740829962823","0.4985740829962823","0.4985740829962823"
"8","0.6077037153707611","0.6077037153707611","0.6077037153707611","0.5204907497159309","0.5204907497159309","0.5204907497159309","0.6085370482206345","0.6085370482206345","0.6085370482206345","0.519768528147704","0.519768528147704","0.519768528147704","0.6078518635961745","0.6078518635961745","0.6078518635961745","0.5265301022082567","0.5265301022082567","0.5265301022082567","0.4946805648079349","0.4946805648079349","0.4946805648079349","0.5965810290028651","0.5965810290028651","0.5965810290028651","0.5222152874312467","0.5222152874312467","0.5222152874312467"
"9","0.626743067615562","0.626743067615562","0.626743067615562","0.5401689914084143","0.5401689914084143","0.5401689914084143","0.6271342711018192","0.6271342711018192","0.6271342711018192","0.539858806150655","0.539858806150655","0.539858806150655","0.6270717706945207","0.6270717706945207","0.6270717706945207","0.5491944545110067","0.5491944545110067","0.5491944545110067","0.5118310276319583","0.5118310276319583","0.5118310276319583","0.6119907520810763","0.6119907520810763","0.6119907520810763","0.5388287134149836","0.5388287134149836","0.5388287134149836"
"10","0.6424930678125885","0.6424930678125885","0.6424930678125885","0.5600254726873504","0.5600254726873504","0.5600254726873504","0.6479884383231401","0.6479884383231401","0.6479884383231401","0.5583912135726876","0.5583912135726876","0.5583912135726876","0.6408217718866136","0.6408217718866136","0.6408217718866136","0.5649699181252056","0.5649699181252056","0.5649699181252056","0.5280046390427483","0.5280046390427483","0.5280046390427483","0.631523159828451","0.631523159828451","0.631523159828451","0.558131955217984","0.558131955217984","0.558131955217984"
