"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_mrr_at_k","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_mrr_at_k__MAX"
"1","0.5319699167075257","0.5319699167075257","0.5319699167075257","0.1615185209657583","0.1615185209657583","0.1615185209657583","0.5525555656858616","0.5525555656858616","0.5525555656858616","0.18092129912682706","0.18092129912682706","0.18092129912682706","0.5442963066312174","0.5442963066312174","0.5442963066312174","0.5239120465165211","0.5239120465165211","0.5239120465165211","0.16685185443030465","0.16685185443030465","0.16685185443030465","0.15990740992791122","0.15990740992791122","0.15990740992791122","0.17115741033355394","0.17115741033355394","0.17115741033355394"
"2","0.5207592682486607","0.5207592682486607","0.5207592682486607","0.3350648200801677","0.3350648200801677","0.3350648200801677","0.4889074161930217","0.4889074161930217","0.4889074161930217","0.3308379682298336","0.3308379682298336","0.3308379682298336","0.5099074166599247","0.5099074166599247","0.5099074166599247","0.5267916756131583","0.5267916756131583","0.5267916756131583","0.32211343097603984","0.32211343097603984","0.32211343097603984","0.3195463013321989","0.3195463013321989","0.3195463013321989","0.3264953756204082","0.3264953756204082","0.3264953756204082"
"3","0.502460655964911","0.502460655964911","0.502460655964911","0.36147685777064825","0.36147685777064825","0.36147685777064825","0.5020648230682645","0.5020648230682645","0.5020648230682645","0.36531713565149243","0.36531713565149243","0.36531713565149243","0.5015416754202711","0.5015416754202711","0.5015416754202711","0.509131953191426","0.509131953191426","0.509131953191426","0.3496666723543571","0.3496666723543571","0.3496666723543571","0.3647708392524057","0.3647708392524057","0.3647708392524057","0.36790509845771724","0.36790509845771724","0.36790509845771724"
"4","0.5056875089402828","0.5056875089402828","0.5056875089402828","0.38816898797700805","0.38816898797700805","0.38816898797700805","0.5158333424482908","0.5158333424482908","0.5158333424482908","0.4021134328937365","0.4021134328937365","0.4021134328937365","0.5107731569314169","0.5107731569314169","0.5107731569314169","0.5190092679676083","0.5190092679676083","0.5190092679676083","0.37600000642943715","0.37600000642943715","0.37600000642943715","0.3840416732980973","0.3840416732980973","0.3840416732980973","0.39471991451457145","0.39471991451457145","0.39471991451457145"
"5","0.5260486200704343","0.5260486200704343","0.5260486200704343","0.4156828772967888","0.4156828772967888","0.4156828772967888","0.5301551018009583","0.5301551018009583","0.5301551018009583","0.4322222297638655","0.4322222297638655","0.4322222297638655","0.5323078799235325","0.5323078799235325","0.5323078799235325","0.532354176008039","0.532354176008039","0.532354176008039","0.40204398831766514","0.40204398831766514","0.40204398831766514","0.40960185892714396","0.40960185892714396","0.40960185892714396","0.4229537105866604","0.4229537105866604","0.4229537105866604"
"6","0.5550023248373634","0.5550023248373634","0.5550023248373634","0.44558334119162624","0.44558334119162624","0.44558334119162624","0.5528750098347663","0.5528750098347663","0.5528750098347663","0.45835880453594857","0.45835880453594857","0.45835880453594857","0.5505671394839883","0.5505671394839883","0.5505671394839883","0.5515694535734753","0.5515694535734753","0.5515694535734753","0.4256782478185164","0.4256782478185164","0.4256782478185164","0.45145371116656396","0.45145371116656396","0.45145371116656396","0.45826389645743704","0.45826389645743704","0.45826389645743704"
"7","0.5739236211313141","0.5739236211313141","0.5739236211313141","0.48040973042324187","0.48040973042324187","0.48040973042324187","0.569717602170176","0.569717602170176","0.569717602170176","0.4916875091675255","0.4916875091675255","0.4916875091675255","0.569895843376716","0.569895843376716","0.569895843376716","0.5741365842517051","0.5741365842517051","0.5741365842517051","0.45236111867427825","0.45236111867427825","0.45236111867427825","0.47973843453286424","0.47973843453286424","0.47973843453286424","0.48559028653138214","0.48559028653138214","0.48559028653138214"
"8","0.5925509361326694","0.5925509361326694","0.5925509361326694","0.5023796386847066","0.5023796386847066","0.5023796386847066","0.587321769795484","0.587321769795484","0.587321769795484","0.5092870461117063","0.5092870461117063","0.5092870461117063","0.5951782514349454","0.5951782514349454","0.5951782514349454","0.596386584950818","0.596386584950818","0.596386584950818","0.4753287119534281","0.4753287119534281","0.4753287119534281","0.5036250090628035","0.5036250090628035","0.5036250090628035","0.5136574165523052","0.5136574165523052","0.5136574165523052"
"9","","","","0.5267963055885501","0.5267963055885501","0.5267963055885501","0.6027916777879","0.6027916777879","0.6027916777879","0.5311458431995577","0.5311458431995577","0.5311458431995577","0.611203715003199","0.611203715003199","0.611203715003199","0.6137986223035389","0.6137986223035389","0.6137986223035389","0.49326852708806596","0.49326852708806596","0.49326852708806596","0.524462972605394","0.524462972605394","0.524462972605394","0.5342523242069616","0.5342523242069616","0.5342523242069616"
"10","","","","0.5462708428237173","0.5462708428237173","0.5462708428237173","0.6221551042364704","0.6221551042364704","0.6221551042364704","0.5528356584103571","0.5528356584103571","0.5528356584103571","0.6303310303025775","0.6303310303025775","0.6303310303025775","0.6303194560673502","0.6303194560673502","0.6303194560673502","0.5127731572869751","0.5127731572869751","0.5127731572869751","0.5427338064205315","0.5427338064205315","0.5427338064205315","0.5524166770031055","0.5524166770031055","0.5524166770031055"
"11","","","","0.5640509360697534","0.5640509360697534","0.5640509360697534","0.640946770724323","0.640946770724323","0.640946770724323","0.5684583438088496","0.5684583438088496","0.5684583438088496","","","","0.6503981597092416","0.6503981597092416","0.6503981597092416","0.5263148239610924","0.5263148239610924","0.5263148239610924","0.5619467693782515","0.5619467693782515","0.5619467693782515","0.5676458439032237","0.5676458439032237","0.5676458439032237"
"12","","","","0.5798657519022624","0.5798657519022624","0.5798657519022624","","","","0.5842430664069123","0.5842430664069123","0.5842430664069123","","","","","","","0.5462199168983433","0.5462199168983433","0.5462199168983433","0.5807546407646603","0.5807546407646603","0.5807546407646603","0.584259270467692","0.584259270467692","0.584259270467692"
"13","","","","0.5980046413309045","0.5980046413309045","0.5980046413309045","","","","0.5952291781587733","0.5952291781587733","0.5952291781587733","","","","","","","0.5615185292644633","0.5615185292644633","0.5615185292644633","0.5927129738562636","0.5927129738562636","0.5927129738562636","0.5991365857736932","0.5991365857736932","0.5991365857736932"
"14","","","","0.6114097342573934","0.6114097342573934","0.6114097342573934","","","","","","","","","","","","","0.5713171399082575","0.5713171399082575","0.5713171399082575","0.6088402900513675","0.6088402900513675","0.6088402900513675","0.615312511858013","0.615312511858013","0.615312511858013"
