"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_base - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_base - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_base - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_mrr_at_k__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_mrr_at_k","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_mrr_at_k__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_mrr_at_k__MAX"
"1","0.5252176017430094","0.5252176017430094","0.5252176017430094","0.2103657442567249","0.2103657442567249","0.2103657442567249","0.5323657500363058","0.5323657500363058","0.5323657500363058","0.21697454070134295","0.21697454070134295","0.21697454070134295","0.2081412073618008","0.2081412073618008","0.2081412073618008","0.5327963055902057","0.5327963055902057","0.5327963055902057","0.21648148498104677","0.21648148498104677","0.21648148498104677","0.5106412127680249","0.5106412127680249","0.5106412127680249","0.20506250324721137","0.20506250324721137","0.20506250324721137"
"2","0.5688472324046824","0.5688472324046824","0.5688472324046824","0.4611180633256833","0.4611180633256833","0.4611180633256833","0.5509676025708516","0.5509676025708516","0.5509676025708516","0.4532754708511962","0.4532754708511962","0.4532754708511962","0.4357662112514178","0.4357662112514178","0.4357662112514178","0.563627324597703","0.563627324597703","0.563627324597703","0.4619791743879517","0.4619791743879517","0.4619791743879517","0.5725601948400338","0.5725601948400338","0.5725601948400338","0.4555694520407253","0.4555694520407253","0.4555694520407253"
"3","0.5587500101427237","0.5587500101427237","0.5587500101427237","0.5029398235757317","0.5029398235757317","0.5029398235757317","0.5539745471278826","0.5539745471278826","0.5539745471278826","0.4972106575336721","0.4972106575336721","0.4972106575336721","0.48105787887672585","0.48105787887672585","0.48105787887672585","0.5575810289813412","0.5575810289813412","0.5575810289813412","0.5009490832471185","0.5009490832471185","0.5009490832471185","0.5608634363545312","0.5608634363545312","0.5608634363545312","0.49655787964993053","0.49655787964993053","0.49655787964993053"
"4","0.5618935291204188","0.5618935291204188","0.5618935291204188","0.5199907506489091","0.5199907506489091","0.5199907506489091","0.5601388999190595","0.5601388999190595","0.5601388999190595","0.5128518613394764","0.5128518613394764","0.5128518613394764","0.504074083197448","0.504074083197448","0.504074083197448","0.5621088070869446","0.5621088070869446","0.5621088070869446","0.5167777876489692","0.5167777876489692","0.5167777876489692","0.5601342700190014","0.5601342700190014","0.5601342700190014","0.5111944541235764","0.5111944541235764","0.5111944541235764"
"5","0.5693402887847688","0.5693402887847688","0.5693402887847688","0.530638899402486","0.530638899402486","0.530638899402486","0.5647453810009692","0.5647453810009692","0.5647453810009692","0.5277384368446139","0.5277384368446139","0.5277384368446139","0.5205277875363826","0.5205277875363826","0.5205277875363826","0.5695463068915738","0.5695463068915738","0.5695463068915738","0.5304213063584433","0.5304213063584433","0.5304213063584433","0.5681180669797792","0.5681180669797792","0.5681180669797792","0.528645843350225","0.528645843350225","0.528645843350225"
"6","0.577233807924721","0.577233807924721","0.577233807924721","0.5444745475351811","0.5444745475351811","0.5444745475351811","0.570370381626818","0.570370381626818","0.570370381626818","0.5375856593085659","0.5375856593085659","0.5375856593085659","0.5327801028225156","0.5327801028225156","0.5327801028225156","0.5789490855369303","0.5789490855369303","0.5789490855369303","0.543773158936037","0.543773158936037","0.543773158936037","0.5768101962241862","0.5768101962241862","0.5768101962241862","0.5426342700438367","0.5426342700438367","0.5426342700438367"
"7","0.5852268632749716","0.5852268632749716","0.5852268632749716","0.5554583446251021","0.5554583446251021","0.5554583446251021","0.5732870483564005","0.5732870483564005","0.5732870483564005","0.5463773259090052","0.5463773259090052","0.5463773259090052","0.5439745474292172","0.5439745474292172","0.5439745474292172","0.5846898265182972","0.5846898265182972","0.5846898265182972","0.5558055673672093","0.5558055673672093","0.5558055673672093","0.5833541791737079","0.5833541791737079","0.5833541791737079","0.5520555663307508","0.5520555663307508","0.5520555663307508"
"8","0.5922963080207507","0.5922963080207507","0.5922963080207507","0.5641180668142107","0.5641180668142107","0.5641180668142107","0.5789629745615853","0.5789629745615853","0.5789629745615853","0.5568310303092003","0.5568310303092003","0.5568310303092003","0.5518912147680919","0.5518912147680919","0.5518912147680919","0.5881203820970323","0.5881203820970323","0.5881203820970323","0.563986123373111","0.563986123373111","0.563986123373111","0.5909861230949561","0.5909861230949561","0.5909861230949561","0.5613564928836293","0.5613564928836293","0.5613564928836293"
"9","0.5979351971877945","0.5979351971877945","0.5979351971877945","0.5712453819910686","0.5712453819910686","0.5712453819910686","0.5810069560607274","0.5810069560607274","0.5810069560607274","0.5624629744887352","0.5624629744887352","0.5624629744887352","0.560060196891427","0.560060196891427","0.560060196891427","0.5951203818983501","0.5951203818983501","0.5951203818983501","0.5715139006144471","0.5715139006144471","0.5715139006144471","0.599023160689407","0.599023160689407","0.599023160689407","0.568666678249836","0.568666678249836","0.568666678249836"
"10","0.6040810312430064","0.6040810312430064","0.6040810312430064","0.579236123048597","0.579236123048597","0.579236123048597","0.5887314936916034","0.5887314936916034","0.5887314936916034","0.5691157523724768","0.5691157523724768","0.5691157523724768","0.5680069557577372","0.5680069557577372","0.5680069557577372","0.5998773272832235","0.5998773272832235","0.5998773272832235","0.5765324198736085","0.5765324198736085","0.5765324198736085","0.6048796418209871","0.6048796418209871","0.6048796418209871","0.5764398266706202","0.5764398266706202","0.5764398266706202"
