"Step","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base - valid_retrieval_acc__MAX"
"1","0.5975555555555555","0.5975555555555555","0.5975555555555555"
"2","0.5991666666666666","0.5991666666666666","0.5991666666666666"
"3","0.6275555555555555","0.6275555555555555","0.6275555555555555"
"4","0.6713888888888889","0.6713888888888889","0.6713888888888889"
"5","0.6514444444444445","0.6514444444444445","0.6514444444444445"
"6","0.6711111111111111","0.6711111111111111","0.6711111111111111"
"7","0.6901666666666667","0.6901666666666667","0.6901666666666667"
"8","0.6923333333333334","0.6923333333333334","0.6923333333333334"
"9","0.6867777777777778","0.6867777777777778","0.6867777777777778"
"10","0.7024444444444444","0.7024444444444444","0.7024444444444444"
"11","0.7022222222222222","0.7022222222222222","0.7022222222222222"
"12","0.68","0.68","0.68"
"13","0.7055555555555556","0.7055555555555556","0.7055555555555556"
"14","0.6965555555555556","0.6965555555555556","0.6965555555555556"
"15","0.7012222222222222","0.7012222222222222","0.7012222222222222"
"16","0.7055555555555556","0.7055555555555556","0.7055555555555556"
"17","0.6926666666666667","0.6926666666666667","0.6926666666666667"
