"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls - valid_retrieval_acc__MAX"
"1","0.7194444444444444","0.7194444444444444","0.7194444444444444","0.6093888888888889","0.6093888888888889","0.6093888888888889","0.7084444444444444","0.7084444444444444","0.7084444444444444","0.6082777777777778","0.6082777777777778","0.6082777777777778"
"2","0.7323888888888889","0.7323888888888889","0.7323888888888889","0.6488888888888888","0.6488888888888888","0.6488888888888888","0.7183333333333334","0.7183333333333334","0.7183333333333334","0.6528333333333334","0.6528333333333334","0.6528333333333334"
"3","0.7209444444444445","0.7209444444444445","0.7209444444444445","0.6707777777777778","0.6707777777777778","0.6707777777777778","0.7242777777777778","0.7242777777777778","0.7242777777777778","0.6254444444444445","0.6254444444444445","0.6254444444444445"
"4","0.7017777777777777","0.7017777777777777","0.7017777777777777","0.6491111111111111","0.6491111111111111","0.6491111111111111","0.7271666666666666","0.7271666666666666","0.7271666666666666","0.6559444444444444","0.6559444444444444","0.6559444444444444"
"5","0.7258888888888889","0.7258888888888889","0.7258888888888889","0.689","0.689","0.689","0.7186666666666667","0.7186666666666667","0.7186666666666667","0.6581111111111111","0.6581111111111111","0.6581111111111111"
"6","0.7343888888888889","0.7343888888888889","0.7343888888888889","0.6892777777777778","0.6892777777777778","0.6892777777777778","0.752","0.752","0.752","0.6761666666666667","0.6761666666666667","0.6761666666666667"
"7","0.7529444444444444","0.7529444444444444","0.7529444444444444","0.7146111111111111","0.7146111111111111","0.7146111111111111","0.7174444444444444","0.7174444444444444","0.7174444444444444","0.7166666666666667","0.7166666666666667","0.7166666666666667"
"8","0.7534444444444445","0.7534444444444445","0.7534444444444445","0.7151666666666666","0.7151666666666666","0.7151666666666666","0.714","0.714","0.714","0.7181111111111111","0.7181111111111111","0.7181111111111111"
"9","0.7517222222222222","0.7517222222222222","0.7517222222222222","0.7165","0.7165","0.7165","0.7518888888888889","0.7518888888888889","0.7518888888888889","0.6967777777777778","0.6967777777777778","0.6967777777777778"
"10","0.7413333333333333","0.7413333333333333","0.7413333333333333","0.7318888888888889","0.7318888888888889","0.7318888888888889","0.7485555555555555","0.7485555555555555","0.7485555555555555","0.7371666666666666","0.7371666666666666","0.7371666666666666"
"11","0.7568888888888889","0.7568888888888889","0.7568888888888889","0.7219444444444445","0.7219444444444445","0.7219444444444445","0.7257222222222223","0.7257222222222223","0.7257222222222223","0.7352222222222222","0.7352222222222222","0.7352222222222222"
"12","0.7468888888888889","0.7468888888888889","0.7468888888888889","0.7152777777777778","0.7152777777777778","0.7152777777777778","0.7096111111111111","0.7096111111111111","0.7096111111111111","0.7320555555555556","0.7320555555555556","0.7320555555555556"
"13","0.7356111111111111","0.7356111111111111","0.7356111111111111","0.7283888888888889","0.7283888888888889","0.7283888888888889","0.7121666666666666","0.7121666666666666","0.7121666666666666","0.7363888888888889","0.7363888888888889","0.7363888888888889"
"14","0.7409444444444444","0.7409444444444444","0.7409444444444444","0.7277777777777777","0.7277777777777777","0.7277777777777777","","","","0.7139444444444445","0.7139444444444445","0.7139444444444445"
"15","","","","0.7200555555555556","0.7200555555555556","0.7200555555555556","","","","0.7215","0.7215","0.7215"
"16","","","","0.711","0.711","0.711","","","","0.7252222222222222","0.7252222222222222","0.7252222222222222"
"17","","","","0.7181111111111111","0.7181111111111111","0.7181111111111111","","","","0.7182222222222222","0.7182222222222222","0.7182222222222222"
