"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_2hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_2hardneg - train_retrieval_acc__MAX"
"1","0.6202638888888888","0.6202638888888888","0.6202638888888888","0.21143055555555557","0.21143055555555557","0.21143055555555557","0.6272777777777778","0.6272777777777778","0.6272777777777778","0.22616666666666665","0.22616666666666665","0.22616666666666665","0.6441388888888889","0.6441388888888889","0.6441388888888889","0.22618055555555555","0.22618055555555555","0.22618055555555555","0.221875","0.221875","0.221875","0.6389027777777778","0.6389027777777778","0.6389027777777778","0.23520833333333332","0.23520833333333332","0.23520833333333332"
"2","0.6217083333333333","0.6217083333333333","0.6217083333333333","0.4308472222222222","0.4308472222222222","0.4308472222222222","0.6145138888888889","0.6145138888888889","0.6145138888888889","0.4452777777777778","0.4452777777777778","0.4452777777777778","0.6054305555555556","0.6054305555555556","0.6054305555555556","0.4445","0.4445","0.4445","0.43369444444444444","0.43369444444444444","0.43369444444444444","0.5895416666666666","0.5895416666666666","0.5895416666666666","0.44094444444444447","0.44094444444444447","0.44094444444444447"
"3","0.6123333333333333","0.6123333333333333","0.6123333333333333","0.4776944444444444","0.4776944444444444","0.4776944444444444","0.6064166666666667","0.6064166666666667","0.6064166666666667","0.46905555555555556","0.46905555555555556","0.46905555555555556","0.6022777777777778","0.6022777777777778","0.6022777777777778","0.4794027777777778","0.4794027777777778","0.4794027777777778","0.456875","0.456875","0.456875","0.591125","0.591125","0.591125","0.4670138888888889","0.4670138888888889","0.4670138888888889"
"4","0.6144305555555556","0.6144305555555556","0.6144305555555556","0.49668055555555557","0.49668055555555557","0.49668055555555557","0.6083472222222223","0.6083472222222223","0.6083472222222223","0.49733333333333335","0.49733333333333335","0.49733333333333335","0.6141805555555555","0.6141805555555555","0.6141805555555555","0.5046527777777777","0.5046527777777777","0.5046527777777777","0.4809583333333333","0.4809583333333333","0.4809583333333333","0.6048888888888889","0.6048888888888889","0.6048888888888889","0.5033055555555556","0.5033055555555556","0.5033055555555556"
"5","0.6305277777777778","0.6305277777777778","0.6305277777777778","0.5201666666666667","0.5201666666666667","0.5201666666666667","0.62825","0.62825","0.62825","0.5235972222222223","0.5235972222222223","0.5235972222222223","0.6325138888888889","0.6325138888888889","0.6325138888888889","0.5279166666666667","0.5279166666666667","0.5279166666666667","0.5058055555555555","0.5058055555555555","0.5058055555555555","0.6273888888888889","0.6273888888888889","0.6273888888888889","0.5235833333333333","0.5235833333333333","0.5235833333333333"
"6","0.6493472222222222","0.6493472222222222","0.6493472222222222","0.5535694444444444","0.5535694444444444","0.5535694444444444","0.6479583333333333","0.6479583333333333","0.6479583333333333","0.5504583333333334","0.5504583333333334","0.5504583333333334","0.6522222222222223","0.6522222222222223","0.6522222222222223","0.5571944444444444","0.5571944444444444","0.5571944444444444","0.5335","0.5335","0.5335","0.6420694444444445","0.6420694444444445","0.6420694444444445","0.5579305555555556","0.5579305555555556","0.5579305555555556"
"7","0.6734861111111111","0.6734861111111111","0.6734861111111111","0.5778611111111112","0.5778611111111112","0.5778611111111112","0.6740833333333334","0.6740833333333334","0.6740833333333334","0.5748888888888889","0.5748888888888889","0.5748888888888889","0.6737222222222222","0.6737222222222222","0.6737222222222222","0.5889166666666666","0.5889166666666666","0.5889166666666666","0.5563472222222222","0.5563472222222222","0.5563472222222222","0.6663611111111111","0.6663611111111111","0.6663611111111111","0.5831111111111111","0.5831111111111111","0.5831111111111111"
"8","0.6946944444444444","0.6946944444444444","0.6946944444444444","0.6056388888888888","0.6056388888888888","0.6056388888888888","0.6947916666666667","0.6947916666666667","0.6947916666666667","0.6038888888888889","0.6038888888888889","0.6038888888888889","0.6945972222222222","0.6945972222222222","0.6945972222222222","0.6135138888888889","0.6135138888888889","0.6135138888888889","0.5801805555555556","0.5801805555555556","0.5801805555555556","0.6825416666666667","0.6825416666666667","0.6825416666666667","0.6072222222222222","0.6072222222222222","0.6072222222222222"
"9","0.7148472222222222","0.7148472222222222","0.7148472222222222","0.6261527777777778","0.6261527777777778","0.6261527777777778","0.7167638888888889","0.7167638888888889","0.7167638888888889","0.626375","0.626375","0.626375","0.7149444444444445","0.7149444444444445","0.7149444444444445","0.6368333333333334","0.6368333333333334","0.6368333333333334","0.5968055555555556","0.5968055555555556","0.5968055555555556","0.6983333333333334","0.6983333333333334","0.6983333333333334","0.6251527777777778","0.6251527777777778","0.6251527777777778"
"10","0.7313333333333333","0.7313333333333333","0.7313333333333333","0.6463611111111112","0.6463611111111112","0.6463611111111112","0.7378472222222222","0.7378472222222222","0.7378472222222222","0.6449722222222222","0.6449722222222222","0.6449722222222222","0.7312777777777778","0.7312777777777778","0.7312777777777778","0.6528472222222222","0.6528472222222222","0.6528472222222222","0.6137361111111111","0.6137361111111111","0.6137361111111111","0.7191388888888889","0.7191388888888889","0.7191388888888889","0.64675","0.64675","0.64675"
