"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_all_negs - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_all_negs - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_all_negs - valid_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_all_negs - valid_retrieval_acc__MAX"
"1","0.6942222222222222","0.6942222222222222","0.6942222222222222","0.6644444444444444","0.6644444444444444","0.6644444444444444","0.5315555555555556","0.5315555555555556","0.5315555555555556","0.5344444444444445","0.5344444444444445","0.5344444444444445"
"2","0.6554444444444445","0.6554444444444445","0.6554444444444445","0.6444444444444445","0.6444444444444445","0.6444444444444445","0.5966111111111111","0.5966111111111111","0.5966111111111111","0.5386666666666666","0.5386666666666666","0.5386666666666666"
"3","0.7357222222222223","0.7357222222222223","0.7357222222222223","0.6715","0.6715","0.6715","0.617","0.617","0.617","0.5793888888888888","0.5793888888888888","0.5793888888888888"
"4","0.6982222222222222","0.6982222222222222","0.6982222222222222","0.7234444444444444","0.7234444444444444","0.7234444444444444","0.6471111111111111","0.6471111111111111","0.6471111111111111","0.6518888888888889","0.6518888888888889","0.6518888888888889"
"5","0.6695555555555556","0.6695555555555556","0.6695555555555556","0.5736111111111111","0.5736111111111111","0.5736111111111111","0.6633888888888889","0.6633888888888889","0.6633888888888889","0.66","0.66","0.66"
"6","0.6610555555555555","0.6610555555555555","0.6610555555555555","0.6580555555555555","0.6580555555555555","0.6580555555555555","0.6326666666666667","0.6326666666666667","0.6326666666666667","0.6446111111111111","0.6446111111111111","0.6446111111111111"
"7","0.6285","0.6285","0.6285","0.7070555555555555","0.7070555555555555","0.7070555555555555","0.6331666666666667","0.6331666666666667","0.6331666666666667","0.6785555555555556","0.6785555555555556","0.6785555555555556"
"8","0.7058333333333333","0.7058333333333333","0.7058333333333333","0.7075","0.7075","0.7075","0.6538333333333334","0.6538333333333334","0.6538333333333334","0.6452222222222223","0.6452222222222223","0.6452222222222223"
"9","0.7147777777777777","0.7147777777777777","0.7147777777777777","0.6781111111111111","0.6781111111111111","0.6781111111111111","0.677","0.677","0.677","0.6572222222222223","0.6572222222222223","0.6572222222222223"
"10","0.7004444444444444","0.7004444444444444","0.7004444444444444","0.7178888888888889","0.7178888888888889","0.7178888888888889","0.664","0.664","0.664","0.6838333333333333","0.6838333333333333","0.6838333333333333"
"11","","","","0.7002777777777778","0.7002777777777778","0.7002777777777778","0.6581666666666667","0.6581666666666667","0.6581666666666667","0.6888888888888889","0.6888888888888889","0.6888888888888889"
"12","","","","","","","0.6495555555555556","0.6495555555555556","0.6495555555555556","0.6522222222222223","0.6522222222222223","0.6522222222222223"
"13","","","","","","","0.6757222222222222","0.6757222222222222","0.6757222222222222","0.6669444444444445","0.6669444444444445","0.6669444444444445"
"14","","","","","","","0.6754444444444444","0.6754444444444444","0.6754444444444444","0.6697777777777778","0.6697777777777778","0.6697777777777778"
"15","","","","","","","0.6784444444444444","0.6784444444444444","0.6784444444444444","0.6459444444444444","0.6459444444444444","0.6459444444444444"
"16","","","","","","","0.6546666666666666","0.6546666666666666","0.6546666666666666","0.675","0.675","0.675"
"17","","","","","","","","","","0.6691666666666667","0.6691666666666667","0.6691666666666667"
"18","","","","","","","","","","0.6564444444444445","0.6564444444444445","0.6564444444444445"
