"Step","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_scope_aware_3hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity4_cls_3hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_scope_aware_3hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity2_cls_3hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_scope_aware_3hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_scope_aware_3hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_base_3hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity5_cls_3hardneg - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_retrieval_acc","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-with_hard_neg_granularity3_cls_3hardneg - train_retrieval_acc__MAX"
"1","0.6146527777777778","0.6146527777777778","0.6146527777777778","0.20495833333333333","0.20495833333333333","0.20495833333333333","0.6319444444444444","0.6319444444444444","0.6319444444444444","0.22783333333333333","0.22783333333333333","0.22783333333333333","0.626375","0.626375","0.626375","0.6051527777777778","0.6051527777777778","0.6051527777777778","0.2107638888888889","0.2107638888888889","0.2107638888888889","0.20358333333333334","0.20358333333333334","0.20358333333333334","0.21708333333333332","0.21708333333333332","0.21708333333333332"
"2","0.5977916666666667","0.5977916666666667","0.5977916666666667","0.40320833333333334","0.40320833333333334","0.40320833333333334","0.565625","0.565625","0.565625","0.3952361111111111","0.3952361111111111","0.3952361111111111","0.585625","0.585625","0.585625","0.6014861111111112","0.6014861111111112","0.6014861111111112","0.38863888888888887","0.38863888888888887","0.38863888888888887","0.38280555555555557","0.38280555555555557","0.38280555555555557","0.39244444444444443","0.39244444444444443","0.39244444444444443"
"3","0.5795138888888889","0.5795138888888889","0.5795138888888889","0.4295277777777778","0.4295277777777778","0.4295277777777778","0.5765694444444445","0.5765694444444445","0.5765694444444445","0.43230555555555555","0.43230555555555555","0.43230555555555555","0.5788333333333333","0.5788333333333333","0.5788333333333333","0.5852777777777778","0.5852777777777778","0.5852777777777778","0.41625","0.41625","0.41625","0.43175","0.43175","0.43175","0.4357638888888889","0.4357638888888889","0.4357638888888889"
"4","0.5845138888888889","0.5845138888888889","0.5845138888888889","0.4591527777777778","0.4591527777777778","0.4591527777777778","0.5945277777777778","0.5945277777777778","0.5945277777777778","0.47465277777777776","0.47465277777777776","0.47465277777777776","0.5895416666666666","0.5895416666666666","0.5895416666666666","0.5976388888888889","0.5976388888888889","0.5976388888888889","0.44506944444444446","0.44506944444444446","0.44506944444444446","0.45502777777777775","0.45502777777777775","0.45502777777777775","0.46597222222222223","0.46597222222222223","0.46597222222222223"
"5","0.6061666666666666","0.6061666666666666","0.6061666666666666","0.4910833333333333","0.4910833333333333","0.4910833333333333","0.6106944444444444","0.6106944444444444","0.6106944444444444","0.5079861111111111","0.5079861111111111","0.5079861111111111","0.6138055555555556","0.6138055555555556","0.6138055555555556","0.6133055555555555","0.6133055555555555","0.6133055555555555","0.4753888888888889","0.4753888888888889","0.4753888888888889","0.4813472222222222","0.4813472222222222","0.4813472222222222","0.4978194444444444","0.4978194444444444","0.4978194444444444"
"6","0.6395277777777778","0.6395277777777778","0.6395277777777778","0.5250555555555556","0.5250555555555556","0.5250555555555556","0.6348888888888888","0.6348888888888888","0.6348888888888888","0.5375972222222222","0.5375972222222222","0.5375972222222222","0.6333611111111112","0.6333611111111112","0.6333611111111112","0.6320416666666666","0.6320416666666666","0.6320416666666666","0.5011388888888889","0.5011388888888889","0.5011388888888889","0.52975","0.52975","0.52975","0.53675","0.53675","0.53675"
"7","0.6570972222222222","0.6570972222222222","0.6570972222222222","0.5609583333333333","0.5609583333333333","0.5609583333333333","0.6521944444444444","0.6521944444444444","0.6521944444444444","0.574875","0.574875","0.574875","0.6544722222222222","0.6544722222222222","0.6544722222222222","0.6560277777777778","0.6560277777777778","0.6560277777777778","0.5315833333333333","0.5315833333333333","0.5315833333333333","0.5608333333333333","0.5608333333333333","0.5608333333333333","0.5684722222222223","0.5684722222222223","0.5684722222222223"
"8","0.6775694444444444","0.6775694444444444","0.6775694444444444","0.5851527777777777","0.5851527777777777","0.5851527777777777","0.6716666666666666","0.6716666666666666","0.6716666666666666","0.5913611111111111","0.5913611111111111","0.5913611111111111","0.6790416666666667","0.6790416666666667","0.6790416666666667","0.6811527777777778","0.6811527777777778","0.6811527777777778","0.5546805555555555","0.5546805555555555","0.5546805555555555","0.5851666666666666","0.5851666666666666","0.5851666666666666","0.5968055555555556","0.5968055555555556","0.5968055555555556"
"9","","","","0.6116388888888888","0.6116388888888888","0.6116388888888888","0.6882222222222222","0.6882222222222222","0.6882222222222222","0.6164027777777777","0.6164027777777777","0.6164027777777777","0.6975416666666666","0.6975416666666666","0.6975416666666666","0.6982777777777778","0.6982777777777778","0.6982777777777778","0.5758472222222222","0.5758472222222222","0.5758472222222222","0.6093194444444444","0.6093194444444444","0.6093194444444444","0.6200416666666667","0.6200416666666667","0.6200416666666667"
"10","","","","0.6316666666666667","0.6316666666666667","0.6316666666666667","0.7092222222222222","0.7092222222222222","0.7092222222222222","0.6396527777777777","0.6396527777777777","0.6396527777777777","0.718125","0.718125","0.718125","0.7174722222222222","0.7174722222222222","0.7174722222222222","0.5971944444444445","0.5971944444444445","0.5971944444444445","0.6282083333333334","0.6282083333333334","0.6282083333333334","0.6388611111111111","0.6388611111111111","0.6388611111111111"
