"Step","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_base - valid_retrieval_acc__MAX"
"1","0.6151666666666666","0.6151666666666666","0.6151666666666666"
"2","0.6693888888888889","0.6693888888888889","0.6693888888888889"
"3","0.6847777777777778","0.6847777777777778","0.6847777777777778"
"4","0.7028333333333333","0.7028333333333333","0.7028333333333333"
"5","0.7104444444444444","0.7104444444444444","0.7104444444444444"
"6","0.7204444444444444","0.7204444444444444","0.7204444444444444"
"7","0.7260555555555556","0.7260555555555556","0.7260555555555556"
"8","0.7313333333333333","0.7313333333333333","0.7313333333333333"
"9","0.7315","0.7315","0.7315"
"10","0.7382777777777778","0.7382777777777778","0.7382777777777778"
"11","0.7412777777777778","0.7412777777777778","0.7412777777777778"
"12","0.7443333333333333","0.7443333333333333","0.7443333333333333"
"13","0.7457777777777778","0.7457777777777778","0.7457777777777778"
"14","0.7512777777777778","0.7512777777777778","0.7512777777777778"
"15","0.7453888888888889","0.7453888888888889","0.7453888888888889"
"16","0.7526111111111111","0.7526111111111111","0.7526111111111111"
"17","0.7538888888888889","0.7538888888888889","0.7538888888888889"
"18","0.7515","0.7515","0.7515"
"19","0.7555555555555555","0.7555555555555555","0.7555555555555555"
"20","0.7543888888888889","0.7543888888888889","0.7543888888888889"
"21","0.754","0.754","0.754"
