"Step","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_scope_aware - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity4_cls - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_scope_aware - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity2_cls - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_base - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_base - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_base - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_scope_aware - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity3_cls - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_scope_aware - train_retrieval_acc__MAX","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_retrieval_acc","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_retrieval_acc__MIN","ScopeEnhancedDualEncoder-without_hard_neg_granularity5_cls - train_retrieval_acc__MAX"
"1","0.6025972222222222","0.6025972222222222","0.6025972222222222","0.2585","0.2585","0.2585","0.6128472222222222","0.6128472222222222","0.6128472222222222","0.2667638888888889","0.2667638888888889","0.2667638888888889","0.2562083333333333","0.2562083333333333","0.2562083333333333","0.61175","0.61175","0.61175","0.2663611111111111","0.2663611111111111","0.2663611111111111","0.5886111111111111","0.5886111111111111","0.5886111111111111","0.25201388888888887","0.25201388888888887","0.25201388888888887"
"2","0.6413333333333333","0.6413333333333333","0.6413333333333333","0.5454166666666667","0.5454166666666667","0.5454166666666667","0.6322777777777778","0.6322777777777778","0.6322777777777778","0.5388611111111111","0.5388611111111111","0.5388611111111111","0.5209722222222222","0.5209722222222222","0.5209722222222222","0.6382361111111111","0.6382361111111111","0.6382361111111111","0.54625","0.54625","0.54625","0.6438055555555555","0.6438055555555555","0.6438055555555555","0.5392361111111111","0.5392361111111111","0.5392361111111111"
"3","0.6392638888888889","0.6392638888888889","0.6392638888888889","0.5901388888888889","0.5901388888888889","0.5901388888888889","0.6380694444444445","0.6380694444444445","0.6380694444444445","0.5840277777777778","0.5840277777777778","0.5840277777777778","0.5704861111111111","0.5704861111111111","0.5704861111111111","0.6395","0.6395","0.6395","0.5895555555555556","0.5895555555555556","0.5895555555555556","0.6409861111111111","0.6409861111111111","0.6409861111111111","0.5839305555555555","0.5839305555555555","0.5839305555555555"
"4","0.6467777777777778","0.6467777777777778","0.6467777777777778","0.6090416666666667","0.6090416666666667","0.6090416666666667","0.6461944444444444","0.6461944444444444","0.6461944444444444","0.6045416666666666","0.6045416666666666","0.6045416666666666","0.5936666666666667","0.5936666666666667","0.5936666666666667","0.6463055555555556","0.6463055555555556","0.6463055555555556","0.608125","0.608125","0.608125","0.6449027777777778","0.6449027777777778","0.6449027777777778","0.6019027777777778","0.6019027777777778","0.6019027777777778"
"5","0.656","0.656","0.656","0.6229027777777778","0.6229027777777778","0.6229027777777778","0.6525","0.6525","0.6525","0.621125","0.621125","0.621125","0.6114305555555556","0.6114305555555556","0.6114305555555556","0.6552361111111111","0.6552361111111111","0.6552361111111111","0.6217777777777778","0.6217777777777778","0.6217777777777778","0.6548472222222222","0.6548472222222222","0.6548472222222222","0.620375","0.620375","0.620375"
"6","0.6663055555555556","0.6663055555555556","0.6663055555555556","0.6375277777777778","0.6375277777777778","0.6375277777777778","0.6585277777777778","0.6585277777777778","0.6585277777777778","0.6325138888888889","0.6325138888888889","0.6325138888888889","0.62475","0.62475","0.62475","0.6659027777777777","0.6659027777777777","0.6659027777777777","0.6379722222222223","0.6379722222222223","0.6379722222222223","0.6647361111111111","0.6647361111111111","0.6647361111111111","0.6353888888888889","0.6353888888888889","0.6353888888888889"
"7","0.674875","0.674875","0.674875","0.6501388888888889","0.6501388888888889","0.6501388888888889","0.663375","0.663375","0.663375","0.6424583333333334","0.6424583333333334","0.6424583333333334","0.6366944444444445","0.6366944444444445","0.6366944444444445","0.6738888888888889","0.6738888888888889","0.6738888888888889","0.6500972222222222","0.6500972222222222","0.6500972222222222","0.6739166666666667","0.6739166666666667","0.6739166666666667","0.6468194444444444","0.6468194444444444","0.6468194444444444"
"8","0.6828333333333333","0.6828333333333333","0.6828333333333333","0.65975","0.65975","0.65975","0.6699861111111111","0.6699861111111111","0.6699861111111111","0.6527083333333333","0.6527083333333333","0.6527083333333333","0.6462916666666667","0.6462916666666667","0.6462916666666667","0.678375","0.678375","0.678375","0.6596944444444445","0.6596944444444445","0.6596944444444445","0.6812638888888889","0.6812638888888889","0.6812638888888889","0.6576666666666666","0.6576666666666666","0.6576666666666666"
"9","0.6896111111111111","0.6896111111111111","0.6896111111111111","0.6667361111111111","0.6667361111111111","0.6667361111111111","0.6738333333333333","0.6738333333333333","0.6738333333333333","0.6590972222222222","0.6590972222222222","0.6590972222222222","0.6559861111111112","0.6559861111111112","0.6559861111111112","0.686625","0.686625","0.686625","0.6680833333333334","0.6680833333333334","0.6680833333333334","0.6911388888888889","0.6911388888888889","0.6911388888888889","0.6666944444444445","0.6666944444444445","0.6666944444444445"
"10","0.6982777777777778","0.6982777777777778","0.6982777777777778","0.6763888888888889","0.6763888888888889","0.6763888888888889","0.6822222222222222","0.6822222222222222","0.6822222222222222","0.6669583333333333","0.6669583333333333","0.6669583333333333","0.6641111111111111","0.6641111111111111","0.6641111111111111","0.6916527777777778","0.6916527777777778","0.6916527777777778","0.6743611111111111","0.6743611111111111","0.6743611111111111","0.6978194444444444","0.6978194444444444","0.6978194444444444","0.6730416666666666","0.6730416666666666","0.6730416666666666"
